Datum,Niederschlag,Month,Niederschlag_Lag_1,Niederschlag_Lag_2,Niederschlag_Lag_3,Niederschlag_Lag_7,Niederschlag_Rolling_Mean_3d,Niederschlag_Rolling_Sum_3d,Niederschlag_Rolling_Mean_7d,Niederschlag_Rolling_Sum_7d,Niederschlag_Rolling_Mean_14d,Niederschlag_Rolling_Sum_14d,Has_Rain,Heavy_Rain_Day,Year,DayOfWeek,IsWeekend,Rain_Category_Extreme_Rain,Rain_Category_Heavy_Rain,Rain_Category_Light_Rain,Rain_Category_Moderate_Rain,Rain_Category_No_Rain,Season_Autumn,Season_Spring,Season_Summer,Season_Winter
2018-03-22,0.2,3,2.3,0.0,0.0,0.0,0.8333333333333357,2.500000000000007,0.41428571428571404,2.899999999999998,1.278571428571429,17.900000000000006,1,0,2018,3,0,False,False,True,False,False,False,True,False,False
2018-03-23,0.1,3,0.2,2.3,0.0,0.4,0.8666666666666689,2.6000000000000068,0.3714285714285711,2.599999999999998,1.2642857142857147,17.700000000000006,1,0,2018,4,0,False,False,True,False,False,False,True,False,False
2018-03-24,0.0,3,0.1,0.2,2.3,0.0,0.10000000000000238,0.30000000000000715,0.3714285714285711,2.599999999999998,0.7857142857142863,11.000000000000007,0,0,2018,5,1,False,False,False,False,True,False,True,False,False
2018-03-25,0.0,3,0.0,0.1,0.2,0.0,0.033333333333335706,0.10000000000000711,0.3714285714285711,2.599999999999998,0.7428571428571434,10.400000000000007,0,0,2018,6,1,False,False,False,False,True,False,True,False,False
2018-03-26,0.0,3,0.0,0.0,0.1,0.0,0.0,0.0,0.3714285714285711,2.599999999999998,0.2357142857142862,3.300000000000007,0,0,2018,0,0,False,False,False,False,True,False,True,False,False
2018-03-27,0.0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.3714285714285711,2.599999999999998,0.2142857142857148,3.000000000000007,0,0,2018,1,0,False,False,False,False,True,False,True,False,False
2018-03-28,8.7,3,0.0,0.0,0.0,2.3,2.900000000000002,8.700000000000006,1.2857142857142851,8.999999999999996,0.8357142857142862,11.700000000000006,1,1,2018,2,0,False,True,False,False,False,False,True,False,False
2018-03-29,0.8,3,8.7,0.0,0.0,0.2,3.166666666666669,9.500000000000007,1.3714285714285712,9.599999999999998,0.8928571428571433,12.500000000000007,1,0,2018,3,0,False,False,True,False,False,False,True,False,False
2018-03-30,0.0,3,0.8,8.7,0.0,0.1,3.166666666666669,9.500000000000007,1.3571428571428565,9.499999999999996,0.8642857142857148,12.100000000000007,0,0,2018,4,0,False,False,False,False,True,False,True,False,False
2018-03-31,3.1,3,0.0,0.8,8.7,0.0,1.3000000000000025,3.9000000000000075,1.7999999999999994,12.599999999999996,1.085714285714286,15.200000000000006,1,0,2018,5,1,False,False,False,True,False,False,True,False,False
2018-04-01,1.2,4,3.1,0.0,0.8,0.0,1.433333333333336,4.300000000000008,1.9714285714285709,13.799999999999995,1.171428571428572,16.400000000000006,1,0,2018,6,1,False,False,True,False,False,False,True,False,False
2018-04-02,5.6,4,1.2,3.1,0.0,0.0,3.3000000000000025,9.900000000000007,2.771428571428571,19.399999999999995,1.5714285714285718,22.000000000000007,1,0,2018,0,0,False,False,False,True,False,False,True,False,False
2018-04-03,2.1,4,5.6,1.2,3.1,0.0,2.966666666666669,8.900000000000007,3.0714285714285707,21.499999999999996,1.7214285714285718,24.100000000000005,1,0,2018,1,0,False,False,True,False,False,False,True,False,False
2018-04-04,5.0,4,2.1,5.6,1.2,8.7,4.233333333333335,12.700000000000006,2.5428571428571423,17.799999999999997,1.9142857142857146,26.800000000000004,1,0,2018,2,0,False,False,False,True,False,False,True,False,False
2018-04-05,0.2,4,5.0,2.1,5.6,0.8,2.433333333333336,7.300000000000008,2.4571428571428564,17.199999999999996,1.9142857142857148,26.800000000000008,1,0,2018,3,0,False,False,True,False,False,False,True,False,False
2018-04-06,0.0,4,0.2,5.0,2.1,0.0,1.733333333333336,5.200000000000008,2.4571428571428564,17.199999999999996,1.9071428571428577,26.700000000000006,0,0,2018,4,0,False,False,False,False,True,False,True,False,False
2018-04-07,0.0,4,0.0,0.2,5.0,3.1,0.06666666666666933,0.200000000000008,2.014285714285714,14.099999999999996,1.9071428571428577,26.700000000000006,0,0,2018,5,1,False,False,False,False,True,False,True,False,False
2018-04-08,0.0,4,0.0,0.0,0.2,1.2,0.0,0.0,1.8428571428571423,12.899999999999997,1.9071428571428577,26.700000000000006,0,0,2018,6,1,False,False,False,False,True,False,True,False,False
2018-04-09,0.0,4,0.0,0.0,0.0,5.6,0.0,0.0,1.0428571428571425,7.299999999999997,1.9071428571428577,26.700000000000006,0,0,2018,0,0,False,False,False,False,True,False,True,False,False
2018-04-10,0.0,4,0.0,0.0,0.0,2.1,0.0,0.0,0.7428571428571425,5.1999999999999975,1.9071428571428577,26.700000000000006,0,0,2018,1,0,False,False,False,False,True,False,True,False,False
2018-04-11,0.0,4,0.0,0.0,0.0,5.0,0.0,0.0,0.028571428571428192,0.19999999999999735,1.2857142857142863,18.000000000000007,0,0,2018,2,0,False,False,False,False,True,False,True,False,False
2018-04-12,0.2,4,0.0,0.0,0.0,0.2,0.06666666666666933,0.200000000000008,0.028571428571428192,0.19999999999999735,1.2428571428571435,17.40000000000001,1,0,2018,3,0,False,False,True,False,False,False,True,False,False
2018-04-13,11.1,4,0.2,0.0,0.0,0.0,3.7666666666666693,11.300000000000008,1.6142857142857139,11.299999999999997,2.035714285714286,28.500000000000007,1,1,2018,4,0,False,True,False,False,False,False,True,False,False
2018-04-14,2.6,4,11.1,0.2,0.0,0.0,4.6333333333333355,13.900000000000007,1.9857142857142853,13.899999999999997,2.0000000000000004,28.000000000000007,1,0,2018,5,1,False,False,False,True,False,False,True,False,False
2018-04-15,2.6,4,2.6,11.1,0.2,0.0,5.433333333333336,16.300000000000008,2.3571428571428568,16.499999999999996,2.1000000000000005,29.40000000000001,1,0,2018,6,1,False,False,False,True,False,False,True,False,False
2018-04-16,13.3,4,2.6,2.6,11.1,0.0,6.166666666666669,18.500000000000007,4.257142857142857,29.799999999999997,2.650000000000001,37.10000000000001,1,1,2018,0,0,False,True,False,False,False,False,True,False,False
2018-04-17,0.0,4,13.3,2.6,2.6,0.0,5.300000000000003,15.90000000000001,4.257142857142857,29.799999999999997,2.5000000000000004,35.00000000000001,0,0,2018,1,0,False,False,False,False,True,False,True,False,False
2018-04-18,0.0,4,0.0,13.3,2.6,0.0,4.433333333333336,13.300000000000008,4.257142857142857,29.799999999999997,2.1428571428571432,30.000000000000007,0,0,2018,2,0,False,False,False,False,True,False,True,False,False
2018-04-19,0.0,4,0.0,0.0,13.3,0.2,0.0,0.0,4.228571428571429,29.599999999999998,2.128571428571429,29.800000000000008,0,0,2018,3,0,False,False,False,False,True,False,True,False,False
2018-04-20,0.0,4,0.0,0.0,0.0,11.1,0.0,0.0,2.642857142857143,18.5,2.128571428571429,29.800000000000008,0,0,2018,4,0,False,False,False,False,True,False,True,False,False
2018-04-21,0.0,4,0.0,0.0,0.0,2.6,0.0,0.0,2.2714285714285714,15.899999999999999,2.128571428571429,29.800000000000008,0,0,2018,5,1,False,False,False,False,True,False,True,False,False
2018-04-22,5.6,4,0.0,0.0,0.0,2.6,1.866666666666669,5.600000000000007,2.6999999999999997,18.9,2.528571428571429,35.400000000000006,1,0,2018,6,1,False,False,False,True,False,False,True,False,False
2018-04-23,0.0,4,5.6,0.0,0.0,13.3,1.866666666666669,5.600000000000007,0.7999999999999995,5.599999999999996,2.528571428571429,35.400000000000006,0,0,2018,0,0,False,False,False,False,True,False,True,False,False
2018-04-24,10.3,4,0.0,5.6,0.0,0.0,5.3000000000000025,15.900000000000007,2.271428571428571,15.899999999999997,3.264285714285715,45.70000000000001,1,1,2018,1,0,False,True,False,False,False,False,True,False,False
